loc,val
0,46
1,2
2,1
3,1
4,0
5,0
6,1
7,1
8,0
9,1
10,0
11,0
12,2
13,2
14,2
15,1
16,1
17,1
18,1
19,0
20,0
21,2
22,2
23,2
24,2
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,0
33,0
34,0
35,0
36,0
37,3
38,2
39,2
40,2
41,2
42,2
43,2
44,2
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,2
53,2
54,2
55,2
56,2
57,2
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,0
66,0
67,0
68,0
69,0
70,1
71,1
72,0
73,0
74,0
75,0
76,0
77,0
78,1
79,0
80,0
81,0
82,0
83,0
84,0
85,1
86,0
87,0
88,0
89,0
90,0
91,0
92,1
93,0
94,0
95,0
96,0
97,0
98,1
99,0
100,0
101,0
102,0
103,0
104,1
105,0
106,0
107,0
108,0
109,0
110,1
111,0
112,11
113,11
114,11
115,11
116,11
117,10
118,10
119,10
120,10
121,10
122,10
123,9
124,9
125,9
126,9
127,9
128,9
129,8
130,8
131,8
132,8
133,8
134,7
135,7
136,7
137,6
138,6
139,6
140,6
141,6
142,6
143,5
144,5
145,5
146,6
147,6
148,6
149,5
150,5
151,5
152,5
153,5
154,5
155,4
156,4
157,4
158,4
159,4
160,4
161,3
162,3
163,3
164,3
165,2
166,1
167,1
168,1
169,1
170,1
171,0
172,0
173,0
174,0
175,0
176,0
177,1
178,0
179,0
180,0
181,0
182,0
183,0
184,1
185,1
186,0
187,0
188,0
189,0
190,0
191,0
192,1
193,0
194,0
195,0
196,0
197,0
198,0
199,1
200,1
201,0
202,0
203,0
204,0
205,0
206,0
207,1
208,0
209,0
210,0
211,0
212,0
213,1
214,1
215,1
216,0
217,0
218,0
219,0
220,0
221,0
222,1
223,0
224,0
225,0
226,0
227,0
228,0
229,1
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,1
238,0
239,1
240,1
241,1
242,1
243,1
244,1
245,0
246,0
247,0
248,0
249,0
250,0
251,1
252,0
253,0
254,0
255,2
256,2
257,2
258,3
259,2
260,2
261,2
262,2
263,2
264,2
265,2
266,2
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,0
275,0
276,0
277,0
278,0
279,0
280,1
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,1
289,0
290,0
291,0
292,0
293,0
294,0
295,1
296,0
297,0
298,0
299,0
300,0
301,0
302,1
303,0
304,0
305,0
306,0
307,0
308,0
309,3
310,3
311,2
312,2
313,2
314,2
315,2
316,2
317,2
318,2
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,0
327,0
328,0
329,0
330,0
331,0
332,1
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,1
341,0
342,0
343,0
344,0
345,0
346,0
347,1
348,1
349,0
350,0
351,0
352,0
353,0
354,0
355,1
356,0
357,4
358,4
359,4
360,4
361,4
362,4
363,4
364,3
365,3
366,3
367,3
368,3
369,3
370,3
371,2
372,2
373,2
374,2
375,2
376,2
377,2
378,2
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,0
387,0
388,0
389,0
390,0
391,1
392,1
393,1
394,0
395,0
396,0
397,0
398,0
399,0
400,1
401,0
402,0
403,0
404,0
405,0
406,0
407,1
408,0
409,0
410,0
411,0
412,0
413,0
414,1
415,0
416,0
417,0
418,1
419,1
420,1
421,1
422,1
423,0
424,0
425,0
426,0
427,0
428,0
429,1
430,0
431,0
432,0
433,0
434,0
435,1
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,1
444,1
445,1
446,1
447,1
448,1
449,1
450,1
451,1
452,0
453,1
454,1
455,1
456,1
457,1
458,0
459,0
460,0
461,0
462,0
463,0
464,1
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,1
473,0
474,0
475,0
476,0
477,0
478,1
479,1
480,0
481,0
482,0
483,0
484,0
485,1
486,0
487,0
488,0
489,0
490,0
491,0
492,1
493,1
494,0
495,0
496,0
497,0
498,1
499,1
500,1
501,0
502,0
503,0
504,0
505,0
506,0
507,1
508,0
509,0
510,0
511,0
512,1
513,1
514,1
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,1
523,0
524,0
525,0
526,0
527,0
528,0
529,1
530,0
531,0
532,2
533,2
534,2
535,2
536,2
537,2
538,1
539,1
540,1
541,1
542,1
543,1
544,1
545,0
546,0
547,0
548,0
549,0
550,0
551,1
552,0
553,0
554,0
555,0
556,0
557,0
558,1
559,0
560,0
561,0
562,0
563,1
564,2
565,2
566,1
567,1
568,1
569,1
570,1
571,3
572,2
573,2
574,2
575,2
576,2
577,2
578,2
579,1
580,1
581,1
582,1
583,1
584,1
585,1
586,0
587,0
588,0
589,0
590,0
591,0
592,1
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,1
601,0
602,0
603,0
604,0
605,0
606,0
607,1
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,1
616,0
617,0
618,0
619,0
620,0
621,0
622,1
623,1
624,0
625,0
626,0
627,0
628,0
629,1
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,1
638,0
639,0
640,1
641,1
642,1
643,1
644,1
645,1
646,0
647,0
648,0
649,0
650,0
651,1
652,1
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,1
661,0
662,0
663,0
664,0
665,0
666,0
667,1
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,1
676,0
677,0
678,0
679,0
680,0
681,1
682,1
683,0
684,18
685,19
686,19
687,19
688,19
689,19
690,18
691,18
692,18
693,18
694,18
695,18
696,18
697,17
698,17
699,17
700,17
701,17
702,17
703,17
704,17
705,16
706,16
707,16
708,16
709,16
710,16
711,16
712,15
713,15
714,15
715,15
716,15
717,15
718,15
719,14
720,14
721,14
722,14
723,14
724,14
725,14
726,13
727,13
728,13
729,13
730,13
731,13
732,13
733,13
734,12
735,12
736,12
737,12
738,12
739,12
740,12
741,11
742,11
743,11
744,11
745,11
746,11
747,11
748,11
749,10
750,10
751,10
752,10
753,10
754,10
755,10
756,9
757,9
758,9
759,9
760,9
761,9
762,9
763,8
764,8
765,8
766,3
767,3
768,3
769,3
770,2
771,2
772,2
773,2
774,2
775,2
776,2
777,1
778,1
779,1
780,1
781,1
782,1
783,1
784,1
785,0
786,0
787,0
788,0
789,0
790,0
791,1
792,2
793,2
794,2
795,2
796,2
797,1
798,1
799,1
800,1
801,1
802,1
803,1
804,1
805,0
806,0
807,0
808,0
809,3
810,2
811,2
812,2
813,2
814,2
815,2
816,2
817,2
818,1
819,1
820,1
821,1
822,1
823,1
824,1
825,1
826,1
827,0
828,0
829,0
830,0
831,0
832,0
833,1
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,1
842,0
843,0
844,0
845,0
846,0
847,0
848,1
849,4
850,1
851,1
852,1
853,0
854,0
855,0
856,2
857,2
858,1
859,1
860,1
861,1
862,1
863,1
864,1
865,1
866,0
867,0
868,1
869,1
870,1
871,2
872,2
873,2
874,2
875,2
876,2
877,2
878,1
879,1
880,1
881,1
882,1
883,1
884,1
885,0
886,2
887,3
888,3
889,3
890,2
891,2
892,2
893,2
894,2
895,2
896,1
897,1
898,1
899,4
900,4
901,4
902,1
903,1
904,1
905,1
906,0
907,0
908,0
909,3
910,2
911,2
912,2
913,2
914,2
915,2
916,2
917,1
918,1
919,1
920,1
921,1
922,1
923,1
924,2
925,2
926,2
927,2
928,2
929,2
930,1
931,1
932,1
933,1
934,1
935,1
936,1
937,0
938,0
939,0
940,0
941,0
942,0
943,1
944,0
945,0
946,0
947,1
948,1
949,1
950,0
951,0
952,0
953,0
954,0
955,0
956,1
957,0
958,0
959,0
960,0
961,0
962,0
963,0
964,0
965,0
966,0
967,0
968,0
969,0
970,0
971,1
972,0
973,0
974,0
975,0
976,0
977,0
978,0
979,1
980,0
981,0
982,0
983,0
984,0
985,0
986,1
987,0
988,0
989,0
990,0
991,0
992,0
993,1
994,0
995,0
996,0
997,0
998,0
999,0
1000,0
1001,2
1002,1
1003,1
1004,0
1005,0
1006,0
1007,2
1008,2
1009,2
1010,1
1011,1
1012,1
1013,1
1014,1
1015,1
1016,1
1017,0
1018,0
1019,0
1020,0
1021,0
1022,0
1023,2
1024,2
1025,2
1026,2
1027,2
1028,2
1029,2
1030,2
1031,1
1032,1
1033,1
1034,1
1035,1
1036,1
1037,1
1038,0
1039,0
1040,0
1041,2
1042,2
1043,2
1044,1
1045,1
1046,1
1047,1
1048,1
1049,1
1050,1
1051,0
1052,0
1053,0
1054,1
1055,1
1056,1
1057,1
1058,0
1059,2
1060,2
1061,2
1062,2
1063,2
1064,2
1065,1
1066,1
1067,1
1068,1
1069,1
1070,1
1071,0
1072,0
1073,0
1074,0
1075,0
1076,1
1077,0
1078,2
1079,2
1080,2
1081,2
1082,2
1083,2
1084,1
1085,1
1086,1
1087,1
1088,1
1089,1
1090,1
1091,1
1092,0
1093,0
1094,0
1095,2
1096,2
1097,1
1098,1
1099,1
1100,1
1101,1
1102,1
1103,1
1104,1
1105,0
1106,0
1107,0
1108,0
1109,0
1110,1
1111,1
1112,0
1113,0
1114,0
1115,0
1116,0
1117,0
1118,1
1119,0
1120,0
1121,0
1122,0
1123,0
1124,1
1125,0
1126,0
1127,0
1128,0
1129,0
1130,0
1131,1
1132,0
1133,0
1134,0
1135,0
1136,0
1137,0
1138,1
1139,2
1140,2
1141,2
1142,2
1143,2
1144,2
1145,1
1146,1
1147,1
1148,1
1149,1
1150,1
1151,1
1152,1
1153,0
1154,0
1155,0
1156,0
1157,2
1158,2
1159,1
1160,1
1161,1
1162,1
1163,1
1164,1
1165,1
1166,1
1167,0
1168,0
1169,0
1170,0
1171,0
1172,1
1173,1
1174,0
1175,0
1176,0
1177,0
1178,0
1179,0
1180,1
1181,0
1182,0
1183,0
1184,0
1185,0
1186,0
1187,0
1188,1
1189,0
1190,0
1191,0
1192,0
1193,0
1194,0
1195,1
1196,0
1197,0
1198,0
1199,0
1200,0
1201,0
1202,0
1203,1
1204,0
1205,0
1206,0
1207,0
1208,0
1209,0
1210,0
1211,1
1212,0
1213,10
1214,11
1215,11
1216,10
1217,10
1218,10
1219,10
1220,10
1221,9
1222,9
1223,9
1224,9
1225,9
1226,9
1227,9
1228,9
1229,8
1230,8
1231,8
1232,8
1233,8
1234,8
1235,8
1236,7
1237,7
1238,7
1239,7
1240,6
1241,6
1242,6
1243,6
1244,5
1245,5
1246,5
1247,5
1248,5
1249,5
1250,5
1251,5
1252,1
1253,1
1254,0
1255,0
1256,0
1257,2
1258,2
1259,2
1260,2
1261,2
1262,2
1263,2
1264,2
1265,1
1266,1
1267,1
1268,1
1269,1
1270,1
1271,1
1272,0
1273,0
1274,0
1275,0
1276,0
1277,0
1278,1
1279,2
1280,2
1281,2
1282,2
1283,2
1284,2
1285,2
1286,1
1287,1
1288,1
1289,1
1290,1
1291,1
1292,1
1293,0
1294,2
1295,2
1296,2
1297,2
1298,2
1299,1
1300,1
1301,1
1302,1
1303,1
1304,1
1305,0
1306,0
1307,2
1308,2
1309,1
1310,1
1311,1
1312,1
1313,1
1314,2
1315,2
1316,1
1317,1
1318,1
1319,1
1320,1
1321,1
1322,3
1323,2
1324,2
1325,2
1326,2
1327,2
1328,2
1329,1
1330,1
1331,1
1332,1
1333,1
1334,1
1335,1
1336,1
1337,0
1338,2
1339,1
1340,0
1341,0
1342,0
1343,0
1344,1
1345,2
1346,2
1347,2
1348,2
1349,2
1350,2
1351,1
1352,1
1353,1
1354,1
1355,1
1356,1
1357,0
1358,2
1359,2
1360,2
1361,2
1362,1
1363,1
1364,1
1365,1
