loc,val
0,1
1,0
2,0
3,1
4,1
5,1
6,1
7,0
8,1
9,1
10,1
11,0
12,1
13,0
14,1
15,2
16,2
17,1
18,1
19,1
20,0
21,1
22,1
23,1
24,1
25,1
26,1
27,0
28,1
29,0
30,0
31,1
32,0
33,0
34,1
35,0
36,1
37,0
38,1
39,0
40,1
41,1
42,0
43,1
44,0
45,0
46,1
47,3
48,2
49,2
50,2
51,1
52,1
53,1
54,1
55,0
56,1
57,0
58,1
59,1
60,0
61,1
62,0
63,0
64,2
65,2
66,2
67,1
68,1
69,1
70,0
71,1
72,1
73,0
74,0
75,1
76,1
77,1
78,0
79,1
80,0
81,1
82,1
83,0
84,1
85,0
86,3
87,2
88,2
89,2
90,1
91,1
92,1
93,0
94,1
95,1
96,0
97,3
98,2
99,2
100,2
101,1
102,1
103,0
104,0
105,1
106,0
107,1
108,0
109,1
110,0
111,3
112,2
113,2
114,2
115,2
116,1
117,1
118,0
119,0
120,1
121,0
122,0
123,1
124,0
125,0
126,3
127,2
128,1
129,1
130,1
131,0
132,0
133,1
134,3
135,3
136,2
137,2
138,2
139,1
140,1
141,1
142,0
143,1
144,1
145,1
146,1
147,1
148,0
149,1
150,1
151,0
152,1
153,1
154,1
155,0
156,1
157,0
158,1
159,1
160,0
161,1
162,0
163,1
164,1
165,1
166,1
167,0
168,1
169,2
170,2
171,1
172,1
173,1
174,1
175,0
176,1
177,1
178,0
179,1
180,2
181,2
182,2
183,2
184,1
185,1
186,1
187,1
188,1
189,1
190,0
191,1
192,0
193,1
194,1
195,1
196,0
197,1
198,1
199,1
200,1
201,0
202,1
203,1
204,4
205,3
206,2
207,1
208,1
209,1
210,1
211,1
212,1
213,0
214,0
215,2
216,2
217,3
218,2
219,2
220,2
221,1
222,1
223,1
224,0
225,1
226,0
227,3
228,2
229,2
230,1
231,1
232,0
233,1
234,0
235,1
236,0
237,1
238,0
239,1
240,0
241,0
242,1
243,0
244,1
245,0
246,0
247,1
248,0
249,1
250,0
251,0
252,1
253,0
254,1
255,2
256,2
257,2
258,1
259,1
260,1
261,1
262,0
263,1
264,1
265,1
266,0
267,0
268,1
269,1
270,0
271,1
272,0
273,1
274,0
275,1
276,0
277,1
278,1
279,0
280,1
281,0
282,1
283,0
284,1
285,0
286,0
287,1
288,0
289,1
290,0
291,0
292,1
293,2
294,2
295,2
296,1
297,1
298,0
299,0
300,1
301,1
302,1
303,1
304,1
305,1
306,0
307,1
308,0
309,1
310,1
311,0
312,1
313,1
314,3
315,2
316,2
317,2
318,1
319,1
320,1
321,3
322,2
323,2
324,0
325,1
326,0
327,1
328,1
329,0
330,1
331,0
332,1
333,1
334,1
335,1
336,0
337,0
338,1
339,0
340,1
341,1
342,0
343,1
344,0
345,1
346,0
347,1
348,0
349,0
350,1
351,0
352,1
353,0
354,1
355,0
356,0
357,1
358,0
359,0
360,1
361,0
362,1
363,0
364,1
365,1
366,0
367,1
368,0
369,1
370,1
371,1
372,0
373,3
374,2
375,2
376,2
377,1
378,1
379,1
380,1
381,1
382,0
383,2
384,2
385,1
386,0
387,1
388,4
389,3
390,3
391,2
392,2
393,1
394,1
395,1
396,1
397,1
398,1
399,1
400,1
401,1
402,0
403,1
404,1
405,1
406,1
407,0
408,1
409,2
410,1
411,1
412,1
413,1
414,1
415,1
416,0
417,1
418,0
419,1
420,0
421,1
422,1
423,0
424,1
425,0
426,0
427,1
428,0
429,1
430,0
431,1
432,0
433,0
434,1
435,0
436,0
437,1
438,0
439,1
440,0
441,1
442,1
443,1
444,1
445,0
446,1
447,0
448,1
449,1
450,1
451,0
452,0
453,2
454,2
455,2
456,1
457,1
458,1
459,1
460,1
461,0
462,0
463,1
464,0
465,1
466,1
467,0
468,1
469,1
470,1
471,1
472,1
473,1
474,1
475,0
476,1
477,1
478,1
479,0
480,1
481,0
482,1
483,1
484,1
485,0
486,1
487,0
488,1
489,0
490,0
491,1
492,1
493,1
494,1
495,0
496,1
497,0
498,0
499,1
500,0
501,1
502,0
503,1
504,0
505,1
506,0
507,1
508,0
509,1
510,0
511,1
512,3
513,3
514,2
515,2
516,2
517,1
518,1
519,1
520,0
521,0
522,1
523,1
524,0
525,1
526,0
527,1
528,1
529,0
530,1
531,0
532,1
533,3
534,2
535,2
536,2
537,2
538,1
539,1
540,1
541,1
542,0
543,1
544,1
545,1
546,1
547,0
548,1
549,0
550,1
551,1
552,1
553,1
554,0
555,0
556,1
557,1
558,1
559,1
560,0
561,1
562,1
563,1
564,1
565,0
566,1
567,0
568,1
569,0
570,1
571,0
572,0
573,1
574,0
575,1
576,1
577,0
578,1
579,0
580,1
581,1
582,0
583,1
584,0
585,0
586,1
587,0
588,1
589,1
590,0
591,1
592,1
593,1
594,1
595,1
596,1
597,1
598,1
599,1
600,1
601,1
602,0
603,1
604,0
605,3
606,2
607,2
608,2
609,1
610,1
611,1
612,0
613,3
614,2
615,2
616,1
617,1
618,0
619,1
620,0
621,1
622,2
623,1
624,1
625,1
626,0
627,1
628,0
629,1
630,1
631,1
632,0
633,1
634,1
635,1
636,1
637,0
638,1
639,1
640,0
641,1
642,0
643,1
644,1
645,1
646,0
647,1
648,1
649,1
650,1
651,1
652,0
653,1
654,0
655,1
656,1
657,1
658,1
659,1
660,1
661,0
662,0
663,1
664,0
665,0
666,3
667,2
668,2
669,2
670,1
671,1
672,1
673,0
674,1
675,0
676,1
677,0
678,1
679,1
680,1
681,1
682,0
683,1
684,0
685,1
686,0
687,1
688,1
689,1
690,1
691,1
692,1
693,1
694,1
695,1
696,1
697,0
698,1
699,0
700,1
701,1
702,1
703,2
704,1
705,1
706,0
707,1
708,1
709,0
710,1
711,0
712,1
713,1
714,0
715,1
716,1
717,1
718,1
719,1
720,0
721,1
722,0
723,1
724,1
725,0
726,1
727,0
728,1
729,1
730,1
731,0
732,0
733,1
734,0
735,0
736,1
737,0
738,1
739,1
740,1
741,1
742,1
743,2
744,1
745,1
746,1
747,1
748,1
749,0
750,1
751,0
752,0
753,1
754,1
755,1
756,1
757,1
758,1
759,1
760,1
761,1
762,0
763,1
764,0
765,1
766,1
767,1
768,1
769,1
770,0
771,1
772,1
773,1
774,0
775,1
776,1
777,1
778,1
779,1
780,1
781,0
782,1
783,0
784,1
785,0
786,0
787,1
788,0
789,1
790,1
791,1
792,1
793,0
794,1
795,0
796,1
797,1
798,0
799,1
800,1
801,1
802,1
803,0
804,1
805,0
806,1
807,0
808,1
809,0
810,0
811,1
812,0
813,1
814,3
815,2
816,2
817,2
818,2
819,1
820,1
821,1
822,1
823,1
824,0
825,1
826,0
827,1
828,1
829,1
830,1
831,0
832,1
833,0
834,1
835,3
836,2
837,2
838,1
839,1
840,1
841,0
842,1
843,1
844,1
845,1
846,1
847,1
848,0
849,1
850,1
851,1
852,0
853,1
854,1
855,1
856,1
857,1
858,0
859,1
860,0
861,0
862,1
863,0
864,0
865,1
866,0
867,1
868,1
869,0
870,1
871,0
872,0
873,1
874,0
875,1
876,0
877,0
878,1
879,0
880,1
881,1
882,0
883,1
884,0
885,1
886,0
887,0
888,1
889,0
890,1
891,0
892,1
893,1
894,1
895,1
896,0
897,1
898,1
899,0
900,1
901,0
902,0
903,1
904,0
905,1
906,1
907,0
908,1
909,0
910,0
911,1
912,0
913,1
914,0
915,1
916,2
917,2
918,2
919,1
920,1
921,1
922,0
923,1
924,1
925,0
926,1
927,1
928,1
929,0
930,1
931,0
932,1
933,1
934,0
935,1
936,1
937,1
938,1
939,0
940,1
941,0
942,1
943,1
944,1
945,0
946,1
947,1
948,1
949,0
950,1
951,0
952,1
953,0
954,1
955,0
956,1
957,1
958,1
959,1
960,1
961,1
962,1
963,0
964,1
965,0
966,1
967,0
968,1
969,1
970,1
971,0
972,1
973,0
974,1
975,0
976,1
977,0
978,1
979,1
980,1
981,0
982,1
983,1
984,1
985,1
986,0
987,1
988,0
989,0
990,1
991,0
992,1
993,1
994,1
995,1
996,0
997,1
998,0
999,1
1000,0
1001,1
1002,1
1003,1
1004,1
1005,1
1006,1
1007,1
1008,0
1009,0
1010,1
1011,2
1012,2
1013,2
1014,1
1015,1
1016,1
1017,0
1018,1
1019,1
1020,1
1021,0
1022,0
1023,1
1024,0
1025,1
1026,1
1027,0
1028,1
1029,0
1030,1
1031,1
1032,0
1033,1
1034,0
1035,1
1036,0
1037,1
1038,1
1039,0
1040,1
1041,0
1042,1
1043,1
1044,0
1045,1
1046,0
1047,1
1048,0
1049,1
1050,1
1051,0
1052,1
1053,0
1054,3
1055,2
1056,2
1057,2
1058,1
1059,1
1060,0
1061,1
1062,1
1063,1
1064,22
1065,23
1066,22
1067,22
1068,21
1069,3
1070,1
1071,1
1072,0
1073,1
1074,0
1075,1
1076,0
1077,1
1078,1
1079,1
1080,0
1081,1
1082,2
1083,1
1084,1
1085,1
1086,0
1087,1
1088,1
1089,0
1090,0
1091,1
1092,0
1093,1
1094,1
1095,1
1096,1
1097,0
1098,3
1099,2
1100,2
1101,1
1102,1
1103,1
1104,1
1105,0
1106,3
1107,2
1108,2
1109,2
1110,1
1111,1
1112,1
1113,0
1114,1
1115,2
1116,2
1117,1
1118,1
1119,1
1120,0
1121,1
1122,1
1123,0
1124,1
1125,0
1126,1
1127,1
1128,0
1129,1
1130,0
1131,1
1132,1
1133,1
1134,1
1135,0
1136,1
1137,1
1138,1
1139,2
1140,1
1141,0
1142,1
1143,0
1144,1
1145,0
1146,0
1147,1
1148,0
1149,1
1150,0
1151,3
1152,2
1153,2
1154,2
1155,2
1156,1
1157,1
1158,1
1159,0
1160,1
1161,0
1162,0
1163,1
1164,0
1165,1
1166,1
1167,1
1168,1
1169,1
1170,1
1171,0
1172,1
1173,0
1174,1
1175,0
1176,3
1177,2
1178,2
1179,1
1180,1
1181,0
1182,1
1183,1
1184,0
1185,0
1186,1
1187,0
1188,3
1189,2
1190,2
1191,1
1192,1
1193,1
1194,1
1195,1
1196,1
1197,0
1198,1
1199,1
1200,1
1201,1
1202,1
1203,0
1204,1
1205,1
1206,0
1207,1
1208,0
1209,1
1210,0
1211,1
1212,1
1213,1
1214,1
1215,0
1216,1
1217,1
1218,1
1219,1
1220,0
1221,1
1222,1
1223,1
1224,1
1225,1
1226,0
1227,3
1228,2
1229,2
1230,2
