loc,val
0,9
1,4
2,2
3,2
4,9
5,8
6,8
7,8
8,8
9,5
10,3
11,3
12,2
13,2
14,2
15,5
16,4
17,3
18,2
19,2
20,2
21,64
22,61
23,27
24,25
25,24
26,24
27,25
28,27
29,23
30,23
31,22
32,22
33,22
34,21
35,21
36,22
37,21
38,21
39,21
40,20
41,20
42,24
43,22
44,22
45,22
46,61
47,61
48,60
49,60
50,60
51,60
52,60
53,56
54,55
55,55
56,55
57,54
58,55
59,52
60,51
61,51
62,51
63,51
64,50
65,50
66,36
67,45
68,49
69,21
70,28
71,28
72,35
73,10
74,11
75,10
76,11
77,34
78,34
79,11
80,34
81,34
82,33
83,33
84,33
85,33
86,33
87,37
88,39
89,31
90,34
91,33
92,33
93,6
94,6
95,5
96,5
97,35
98,32
99,29
100,35
101,30
102,32
103,467
104,467
105,458
106,456
107,456
108,456
109,456
110,456
111,455
112,455
113,455
114,454
115,454
116,454
117,454
118,453
119,466
120,457
121,456
122,456
123,449
124,448
125,448
126,448
127,448
128,447
129,447
130,447
131,447
132,446
133,492
134,442
135,440
136,440
137,425
138,440
139,424
140,433
141,428
142,427
143,427
144,427
145,427
146,426
147,434
148,435
149,439
150,439
151,438
152,422
153,434
154,434
155,425
156,435
157,492
158,490
159,441
160,438
161,412
162,420
163,410
164,438
165,411
166,404
167,403
168,403
169,403
170,402
171,410
172,401
173,410
174,409
175,409
176,400
177,439
178,400
179,447
180,400
181,399
182,399
183,408
184,408
185,422
186,411
187,411
188,407
189,401
190,400
191,398
192,396
193,396
194,396
195,395
196,395
197,395
198,399
199,395
200,395
201,394
202,394
203,394
204,394
205,394
206,393
207,393
208,393
209,393
210,393
211,393
212,392
213,392
214,392
215,399
216,393
217,409
218,407
219,390
220,388
221,390
222,388
223,389
224,387
225,389
226,388
227,387
228,388
229,387
230,388
231,387
232,390
233,388
234,388
235,408
236,408
237,390
238,447
239,389
240,387
241,387
242,387
243,387
244,395
245,407
246,399
247,441
248,440
249,409
250,384
251,384
252,383
253,383
254,383
255,383
256,382
257,382
258,382
259,386
260,381
261,383
262,381
263,382
264,381
265,382
266,380
267,381
268,380
269,381
270,380
271,377
272,376
273,376
274,376
275,376
276,375
277,374
278,373
279,372
280,372
281,372
282,372
283,380
284,380
285,380
286,380
287,380
288,380
289,380
290,373
291,372
292,372
293,369
294,369
295,368
296,368
297,368
298,368
299,365
300,365
301,365
302,365
303,364
304,364
305,364
306,363
307,363
308,361
309,360
310,360
311,360
312,360
313,359
314,359
315,379
316,354
317,359
318,354
319,358
320,353
321,358
322,353
323,358
324,353
325,354
326,353
327,353
328,352
329,353
330,352
331,353
332,352
333,352
334,214
335,221
336,213
337,217
338,213
339,216
340,213
341,215
342,212
343,215
344,212
345,210
346,212
347,210
348,212
349,209
350,212
351,209
352,352
353,200
354,197
355,197
356,197
357,196
358,196
359,196
360,196
361,195
362,353
363,345
364,195
365,194
366,193
367,193
368,193
369,192
370,202
371,213
372,204
373,209
374,203
375,204
376,204
377,203
378,204
379,224
380,197
381,203
382,389
383,347
384,337
385,338
386,338
387,346
388,346
389,458
390,205
391,452
392,208
393,205
394,207
395,327
396,334
397,326
398,325
399,325
400,325
401,325
402,178
403,178
404,178
405,178
406,178
407,177
408,178
409,178
410,177
411,177
412,177
413,177
414,177
415,176
416,173
417,173
418,173
419,173
420,172
421,172
422,172
423,171
424,171
425,171
426,171
427,170
428,170
429,346
430,170
431,346
432,325
433,209
434,206
435,170
436,346
437,347
438,170
439,169
440,169
441,209
442,169
443,210
444,168
445,209
446,168
447,210
448,168
449,209
450,168
451,209
452,166
453,210
454,166
455,166
456,165
457,165
458,165
459,165
460,164
461,164
462,164
463,163
464,163
465,163
466,163
467,162
468,162
469,162
470,162
471,162
472,161
473,161
474,161
475,161
476,161
477,160
478,160
479,160
480,159
481,159
482,158
483,158
484,158
485,158
486,158
487,325
488,324
489,324
490,347
491,327
492,326
493,325
494,324
495,324
496,323
497,323
498,323
499,306
500,305
501,305
502,305
503,300
504,133
505,132
506,300
507,129
508,128
509,128
510,128
511,127
512,127
513,127
514,127
515,300
516,297
517,299
518,298
519,298
520,298
521,298
522,297
523,297
524,295
525,298
526,296
527,187
528,295
529,123
530,117
531,116
532,116
533,116
534,295
535,115
536,295
537,114
538,114
539,295
540,193
541,170
542,144
543,323
544,203
545,204
546,205
547,295
548,294
549,294
550,111
551,294
552,110
553,294
554,205
555,291
556,291
557,290
558,290
559,187
560,290
561,198
562,290
563,287
564,286
565,285
566,100
567,99
568,99
569,99
570,99
571,98
572,98
573,98
574,97
575,97
576,97
577,97
578,97
579,96
580,96
581,96
582,96
583,95
584,95
585,285
586,94
587,94
588,94
589,93
590,93
591,93
592,92
593,92
594,92
595,92
596,91
597,91
598,95
599,95
600,94
601,94
602,94
603,284
604,284
605,284
606,284
607,284
608,91
609,283
610,86
611,283
612,86
613,289
614,86
615,288
616,85
617,288
618,85
619,90
620,89
621,85
622,89
623,84
624,89
625,84
626,89
627,286
628,266
629,266
630,261
631,261
632,80
633,80
634,80
635,80
636,80
637,79
638,79
639,79
640,79
641,79
642,79
643,78
644,78
645,78
646,78
647,88
648,78
649,259
650,87
651,260
652,88
653,87
654,87
655,87
656,87
657,87
658,86
659,241
660,242
661,238
662,238
663,238
664,238
665,237
666,237
667,237
668,237
669,236
670,235
671,235
672,235
673,234
674,236
675,234
676,234
677,234
678,233
679,233
680,233
681,233
682,233
683,232
684,232
685,232
686,232
687,231
688,233
689,26
690,265
691,21
692,244
693,243
694,243
695,16
696,231
697,230
698,230
699,230
700,229
701,231
702,229
703,204
704,229
705,37
706,228
707,7
708,29
709,231
710,231
711,231
712,231
713,230
714,231
715,230
716,230
717,230
718,230
719,229
720,229
721,229
722,228
723,230
724,228
725,228
726,228
727,228
728,227
729,227
730,227
731,227
732,227
733,226
734,231
735,28
736,227
737,43
738,2326
739,2508
740,2508
741,2512
742,2508
743,2508
744,2508
745,2509
746,2283
747,2283
748,2283
749,2282
750,2282
751,2282
752,2281
753,2281
754,2281
755,2281
756,2280
757,2280
758,2280
759,2279
760,2279
761,2279
762,2508
763,2505
764,2281
765,2280
766,2279
767,2505
768,2505
769,2504
770,2644
771,2674
772,2639
773,2352
774,2639
775,2351
776,2639
777,2351
778,2638
779,2348
780,2638
781,2347
782,2637
783,2347
784,2637
785,2347
786,2636
787,2346
788,2273
789,2272
790,2640
791,2352
792,2642
793,2352
794,2505
795,2278
796,2275
797,2274
798,2274
799,2274
800,2274
801,2273
802,2273
803,2272
804,2273
805,2273
806,2272
807,2272
808,2272
809,2272
810,2272
811,2502
812,2502
813,2502
814,2506
815,2506
816,2638
817,2269
818,2270
819,2270
820,2733
821,2424
822,2703
823,2634
824,2633
825,2633
826,2633
827,2632
828,2636
829,2632
830,2632
831,2635
832,2347
833,2630
834,2346
835,2703
836,2739
837,2433
838,2744
839,2631
840,2633
841,2629
842,2340
843,2629
844,2346
845,2629
846,2346
847,2605
848,2604
849,2604
850,2724
851,2417
852,2601
853,2603
854,2606
855,2613
856,2336
857,2613
858,2335
859,2605
860,2334
861,2605
862,2334
863,2605
864,2334
865,2604
866,2333
867,2603
868,2333
869,2605
870,2334
871,2602
872,2332
873,2606
874,2335
875,2604
876,2333
877,2601
878,2331
879,2603
880,2256
881,2332
882,2442
883,2442
884,2442
885,2442
886,2442
887,2441
888,2441
889,2440
890,2601
891,2328
892,2601
893,2327
894,2600
895,2327
896,2605
897,2601
898,2328
899,2604
900,2601
901,2603
902,2600
903,2600
904,2600
905,2327
906,2599
907,2599
908,2599
909,2605
910,2598
911,2598
912,2240
913,2239
914,2239
915,2239
916,2236
917,2598
918,2238
919,2325
920,2594
921,2238
922,2323
923,2600
924,2595
925,2324
926,2229
927,2227
928,2227
929,2226
930,2594
931,2323
932,2595
933,2324
934,2594
935,2323
936,2593
937,2323
938,2594
939,2323
940,2594
941,2323
942,2594
943,2593
944,2322
945,2593
946,2593
947,2593
948,2593
949,2322
950,2592
951,2592
952,2591
953,2599
954,2599
955,2598
956,2598
957,2593
958,2322
959,2592
960,2426
961,2426
962,2426
963,2425
964,2425
965,2426
966,2256
967,2253
968,2589
969,2222
970,2318
971,2222
972,2262
973,2221
974,2262
975,2221
976,2263
977,2416
978,2220
979,2271
980,2219
981,2219
982,2218
983,2218
984,2218
985,2218
986,2217
987,2589
988,2415
989,2407
990,2407
991,2406
992,2406
993,2480
994,2402
995,2272
996,2263
997,2495
998,2222
999,2494
1000,2222
1001,2328
1002,2269
1003,2210
1004,2494
1005,2213
1006,2222
1007,2213
1008,2213
1009,2212
1010,2212
1011,2582
1012,2583
1013,2581
1014,2303
1015,2583
1016,2312
1017,2582
1018,2312
1019,2583
1020,2584
1021,2580
1022,2315
1023,2488
1024,2213
1025,2206
1026,2175
1027,2393
1028,2393
1029,2393
1030,2173
1031,2173
1032,2174
1033,2393
1034,2173
1035,2581
1036,2305
1037,2173
1038,2174
1039,2173
1040,2436
1041,2170
1042,2486
1043,2391
1044,2390
1045,2390
1046,2390
1047,2390
1048,2390
1049,2389
1050,2389
1051,2389
1052,2388
1053,2388
1054,2388
1055,2388
1056,2387
1057,2169
1058,2165
1059,2171
1060,2167
1061,2169
1062,2484
1063,2166
1064,2174
1065,2175
1066,2170
1067,2171
1068,2171
1069,2581
1070,2176
1071,2579
1072,2300
1073,2579
1074,2300
1075,2579
1076,2299
1077,2579
1078,2300
1079,2578
1080,2172
1081,2578
1082,2172
1083,2578
1084,2299
1085,2578
1086,2299
1087,2578
1088,2172
1089,2170
1090,2379
1091,2551
1092,2550
1093,2375
1094,2552
1095,2551
1096,2551
1097,2377
1098,2376
1099,2367
1100,2366
1101,2366
1102,2365
1103,2365
1104,2365
1105,2364
1106,2364
1107,2364
1108,2363
1109,2363
1110,2376
1111,2551
1112,2550
1113,2550
1114,2577
1115,2298
1116,2549
1117,2550
1118,2171
1119,2151
1120,2174
1121,2175
1122,2174
1123,2538
1124,2533
1125,2271
1126,2533
1127,2538
1128,2539
1129,2539
1130,2534
1131,2271
1132,2532
1133,2270
1134,2538
1135,2533
1136,2271
1137,2574
1138,2292
1139,2538
1140,2533
1141,2533
1142,2271
1143,2532
1144,2270
1145,2576
1146,2297
1147,2576
1148,2292
1149,2149
1150,2577
1151,2142
1152,2572
1153,2380
1154,2571
1155,2279
1156,2561
1157,2154
1158,2559
1159,2153
1160,2559
1161,2152
1162,2560
1163,2154
1164,2554
1165,2150
1166,2559
1167,2151
1168,2570
1169,2134
1170,2273
1171,2132
1172,2553
1173,2133
