loc,val
0,6
1,2
2,1
3,3
4,3
5,2
6,2
7,1
8,4
9,3
10,2
11,1
12,1
13,1
14,1
15,1
16,1
17,4
18,3
19,6
20,3
21,2
22,2
23,2
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,2
32,1
33,1
34,1
35,2
36,1
37,3
38,3
39,2
40,2
41,1
42,2
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,2
58,1
59,2
60,1
61,1
62,2
63,1
64,1
65,1
66,1
67,0
68,1
69,4
70,2
71,1
72,1
73,1
74,1
75,1
76,1
77,4
78,4
79,3
80,3
81,3
82,3
83,1
84,1
85,2
86,1
87,1
88,2
89,1
90,3
91,5
92,3
93,3
94,3
95,3
96,5
97,5
98,5
99,5
100,5
101,4
102,3
103,3
104,3
105,2
106,2
107,1
108,4
109,6
110,3
111,4
112,4
113,4
114,3
115,3
116,3
117,3
118,2
119,2
120,3
121,3
122,2
123,2
124,1
125,3
126,3
127,3
128,4
129,3
130,3
131,5
132,2
133,2
134,2
135,2
136,2
137,2
138,3
139,2
140,1
141,1
142,1
143,1
144,1
145,2
146,2
147,1
148,1
149,1
150,1
151,3
152,3
153,3
154,3
155,3
156,2
157,2
158,2
159,1
160,1
161,1
162,1
163,2
164,1
165,1
166,2
167,1
168,1
169,2
170,1
171,1
172,1
173,2
174,1
175,2
176,2
177,1
178,1
179,1
180,1
181,1
182,0
183,1
184,1
185,1
186,1
187,1
188,0
189,0
190,1
191,1
192,2
193,1
194,2
195,1
196,2
197,1
198,2
199,3
200,2
201,2
202,1
203,1
204,3
205,3
206,2
207,3
208,2
209,2
210,2
211,1
212,1
213,2
214,1
215,2
216,2
217,1
218,1
219,2
220,1
221,1
222,1
223,1
224,2
225,2
226,2
227,2
228,2
229,1
230,1
231,0
232,1
233,1
234,2
235,2
236,2
237,1
238,3
239,1
240,1
241,1
242,0
243,3
244,3
245,2
246,6
247,3
248,2
249,3
250,2
251,2
252,1
253,1
254,3
255,3
256,2
257,2
258,2
259,5
260,1
261,1
262,1
263,1
264,0
265,1
266,1
267,3
268,1
269,2
270,1
271,1
272,1
273,29
274,27
275,26
276,26
277,26
278,25
279,28
280,3
281,27
282,27
283,26
284,26
285,29
286,25
287,2
288,26
289,26
290,25
291,25
292,25
293,25
294,25
295,24
296,24
297,1
298,25
299,1
300,29
301,29
302,5
303,28
304,28
305,28
306,28
307,28
308,4
309,28
310,27
311,27
312,27
313,48
314,48
315,48
316,23
317,24
318,48
319,48
320,47
321,21
322,16
323,46
324,46
325,52
326,52
327,52
328,8
329,51
330,51
331,60
332,60
333,59
334,59
335,8
336,10
337,59
338,58
339,62
340,62
341,9
342,7
343,6
344,5
345,8
346,61
347,6
348,3
349,60
350,62
351,6
352,62
353,61
354,1
355,63
356,62
357,62
358,62
359,62
360,1
361,62
362,62
363,62
364,64
365,63
366,63
367,63
368,63
369,2
370,63
371,63
372,63
373,63
374,1
375,63
376,63
377,63
378,63
379,88
380,88
381,63
382,63
383,102
384,77
385,77
386,77
387,76
388,76
389,75
390,99
391,12
392,76
393,76
394,76
395,75
396,75
397,6
398,99
399,75
400,74
401,98
402,4
403,11
404,6
405,6
406,102
407,12
408,79
409,101
410,5
411,100
412,100
413,77
414,99
415,77
416,2
417,72
418,73
419,1
420,69
421,70
422,69
423,72
424,70
425,82
426,113
427,81
428,88
429,84
430,85
431,79
432,7
433,91
434,4
435,83
436,81
437,113
438,84
