loc,val
0,7222
1,7255
2,7255
3,7255
4,7255
5,7255
6,7263
7,7272
8,7280
9,7288
10,7296
11,7304
12,7314
13,7319
14,7328
15,7336
16,7346
17,7354
18,7362
19,7367
20,7376
21,7386
22,7394
23,7404
24,7412
25,7419
26,7427
27,7434
28,7441
29,7450
30,7458
31,7466
32,7474
33,7485
34,7493
35,7499
36,7508
37,7514
38,7523
39,7531
40,7539
41,7549
42,7555
43,7563
44,7571
45,7582
46,7590
47,7606
48,7616
49,7622
50,7630
51,7639
52,7649
53,7655
54,7663
55,7670
56,7678
57,7688
58,7697
59,7704
60,7713
61,7721
62,7731
63,7736
64,7744
65,7753
66,7762
67,7768
68,7781
69,7790
70,7799
71,7806
72,7813
73,7821
74,7830
75,7839
76,7846
77,7852
78,7860
79,7869
80,7877
81,7885
82,7893
83,7902
84,7910
85,7917
86,7928
87,7935
88,7942
89,7951
90,7959
91,7967
92,7974
93,7985
94,7993
95,8003
96,8012
97,8018
98,8027
99,8034
100,8041
101,8052
102,8057
103,8066
104,8076
105,8085
106,8093
107,8101
108,8109
109,8118
110,8126
111,8136
112,8143
113,8150
114,8159
115,8165
116,8176
117,8184
118,8193
119,8202
120,8210
121,8220
122,8228
123,8234
124,8249
125,8256
126,8264
127,8275
128,8284
129,8293
130,8299
131,8301
132,8307
133,8317
134,8325
135,8333
136,8340
137,8350
138,8357
139,8366
140,8376
141,8385
142,8394
143,8402
144,8409
145,8417
146,8427
147,8434
148,8443
149,8450
150,8459
151,8467
152,8479
153,8485
154,8493
155,8516
156,8515
157,8515
158,8523
159,8531
160,8539
161,8548
162,8556
163,8564
164,8577
165,8585
166,8590
167,8598
168,8607
169,8614
170,8622
171,8630
172,8639
173,8645
174,8655
175,8664
176,8671
177,8679
178,8688
179,8698
180,8705
181,8715
182,8724
183,8730
184,8739
185,8749
186,8756
187,8764
188,8775
189,8783
190,8791
191,8797
192,8806
193,8814
194,8822
195,8830
196,8839
197,8846
198,8854
199,8865
200,8873
201,8883
202,8889
203,8897
204,8906
205,8912
206,8923
207,8930
208,8936
209,8946
210,8952
211,8960
212,8970
213,8979
214,8987
215,8995
216,9006
217,9012
218,9020
219,9028
220,9035
221,9043
222,9052
223,9061
224,9070
225,9078
226,9085
227,9095
228,9104
229,9112
230,9121
231,9129
232,9134
233,9143
234,9152
235,9159
236,9168
237,9176
238,9186
239,9194
240,9203
241,9212
242,9219
243,9227
244,9237
245,9243
246,9250
247,9260
248,9267
249,9275
250,9282
251,9290
252,9300
253,9307
254,9315
255,9323
256,9332
257,9341
258,9349
259,9356
260,9367
261,9374
262,9381
263,9391
264,9399
265,9405
266,9415
267,9423
268,9433
269,9438
270,9446
271,9455
272,9463
273,9471
274,9479
275,9488
276,9500
277,9506
278,9514
279,9522
280,9531
281,9537
282,9546
283,9553
284,9561
285,9578
286,9586
287,9595
288,9604
289,9612
290,9621
291,9628
292,9638
293,9643
294,9650
295,9659
296,9667
297,9675
298,9686
299,9692
300,9700
301,9708
302,9716
303,9727
304,9738
305,9747
306,9755
307,9766
308,9773
309,9782
310,9790
311,9799
312,9805
313,9815
314,9821
315,9831
316,9836
317,9846
318,9853
319,9861
320,9871
321,9907
322,9907
323,9907
324,9909
325,9912
326,9918
327,9927
328,9933
329,9944
330,9951
331,9958
332,9969
333,9977
334,9986
335,9993
336,10002
337,10010
338,10018
339,10026
340,10034
341,10041
342,10050
343,10059
344,10069
345,10075
346,10087
347,10092
348,10103
349,10109
350,10119
351,10126
352,10133
353,10144
354,10149
355,10156
356,10167
357,10175
358,10183
359,10192
360,10201
361,10209
362,10217
363,10226
364,10232
365,10241
366,10251
367,10258
368,10269
369,10275
370,10285
371,10294
372,10302
373,10308
374,10316
375,10323
376,10331
