loc,val
0,5
1,23
2,21
3,20
4,20
5,2
6,19
7,2
8,2
9,19
10,1
11,1
12,40
13,36
14,35
15,38
16,34
17,36
18,33
19,22
20,15
21,17
22,56
23,56
24,56
25,56
26,55
27,54
28,54
29,54
30,54
31,53
32,53
33,53
34,53
35,52
36,52
37,52
38,52
39,52
40,49
41,80
42,78
43,80
44,79
45,77
46,71
47,92
48,85
49,91
50,71
51,70
52,70
53,70
54,71
55,70
56,29
57,69
58,69
59,67
60,67
61,66
62,65
63,65
64,27
65,65
66,64
67,64
68,64
69,63
70,29
71,63
72,29
73,64
74,28
75,63
76,28
77,63
78,62
79,62
80,62
81,27
82,90
83,27
84,70
85,80
86,70
87,95
88,52
89,52
90,52
91,52
92,51
93,51
94,51
95,51
96,50
97,50
98,24
99,41
100,41
101,40
102,85
103,84
104,85
105,85
106,84
107,88
108,84
109,23
110,91
111,87
112,91
113,70
114,69
115,41
116,62
117,58
118,58
119,58
120,60
121,58
122,60
123,58
124,60
125,57
126,59
127,59
128,61
129,59
130,34
131,69
132,33
133,30
134,63
135,65
136,82
137,64
138,67
139,28
140,28
141,27
142,81
143,94
144,25
145,25
146,24
147,24
148,24
149,24
150,23
151,23
152,22
153,22
154,22
155,22
156,22
157,21
158,21
159,17
160,11
161,11
162,10
163,10
164,10
165,10
166,10
167,9
168,9
169,9
170,9
171,18
172,19
173,19
174,19
175,18
176,18
177,18
178,17
179,9
180,9
181,7
182,7
183,7
184,6
185,61
186,6
187,4
188,39
189,21
190,21
191,21
192,21
193,20
194,20
195,20
196,17
197,16
198,16
199,16
200,10
201,269
202,279
203,278
204,278
205,278
206,278
207,277
208,277
209,277
210,277
211,276
212,276
213,271
214,270
215,270
216,270
217,268
218,270
219,254
220,269
221,269
222,269
223,269
224,248
225,268
226,268
227,268
228,267
229,267
230,267
231,267
232,266
233,266
234,262
235,262
236,262
237,256
238,256
239,246
240,255
241,255
242,255
243,255
244,244
245,236
246,232
247,231
248,231
249,231
250,230
251,230
252,230
253,230
254,230
255,225
256,230
257,224
258,230
259,224
260,230
261,224
262,246
263,233
264,229
265,224
266,224
267,223
268,223
269,232
270,223
271,223
272,222
273,222
274,222
275,222
276,222
277,221
278,221
279,221
280,221
281,221
282,220
283,220
284,220
285,220
286,220
287,220
288,219
289,219
