loc,val
0,109
1,163
2,163
3,162
4,162
5,161
6,10
7,4
8,159
9,158
10,158
11,157
12,157
13,5
14,161
15,159
16,159
17,159
18,158
19,157
20,157
21,156
22,156
23,156
24,155
25,155
26,155
27,154
28,154
29,153
30,153
31,155
32,155
33,155
34,154
35,154
36,154
37,154
38,152
39,151
40,151
41,151
42,151
43,150
44,150
45,150
46,150
47,150
48,149
49,148
50,148
51,147
52,149
53,148
54,146
55,146
56,145
57,145
58,145
59,145
60,145
61,144
62,144
63,143
64,145
65,144
66,144
67,144
68,145
69,145
70,3
71,144
72,2
73,144
74,145
75,3
76,144
77,145
78,144
79,144
80,143
81,146
82,146
83,145
84,143
85,143
86,142
87,142
88,142
89,1
90,141
91,141
92,141
93,141
94,140
95,140
96,140
97,140
98,194
99,137
100,137
101,137
102,0
103,137
104,134
105,139
106,135
107,135
108,134
109,6
110,134
111,133
112,134
113,133
114,133
115,132
116,135
117,10
118,134
119,134
120,2
121,1
122,132
123,131
124,131
125,133
126,132
127,132
128,4
129,4
130,134
131,134
132,2
133,133
134,3
135,134
136,134
137,133
138,2
139,133
140,132
141,1
142,232
143,232
144,231
145,231
146,231
147,230
148,230
149,230
150,229
151,34
152,230
153,229
154,229
155,229
156,229
157,228
158,34
159,228
160,228
161,34
162,227
163,232
164,231
165,231
166,231
167,231
168,230
169,230
170,230
171,229
172,229
173,36
174,229
175,229
176,228
177,228
178,228
179,240
180,47
181,239
182,239
183,238
184,238
185,238
186,238
187,237
188,237
189,237
190,236
191,236
192,236
193,236
194,234
195,234
196,234
197,234
198,233
199,233
200,42
201,232
202,232
203,231
204,231
205,230
206,230
207,230
208,231
209,231
210,231
211,44
212,234
213,234
214,232
215,42
216,231
217,3
218,229
219,229
220,228
221,228
222,227
223,40
224,227
225,227
226,39
227,227
228,229
229,229
230,228
231,228
232,228
233,227
234,230
235,230
236,229
237,229
238,229
239,229
240,42
241,2
242,42
243,227
244,3
245,235
246,235
247,7
248,234
249,233
250,233
251,48
252,48
253,232
254,231
255,231
256,230
257,230
258,230
259,230
260,231
261,231
262,231
263,230
264,230
265,232
266,231
267,231
268,230
269,230
270,230
271,229
272,229
273,229
274,230
275,229
276,229
277,228
278,229
279,228
280,228
281,227
282,230
283,229
284,229
285,228
286,227
287,227
288,227
289,227
290,227
291,227
292,227
293,227
294,226
295,226
296,227
297,227
298,47
299,46
300,226
301,226
302,226
303,225
304,225
305,224
306,223
307,375
308,373
309,218
310,218
311,219
312,218
313,217
314,45
315,371
316,217
317,365
318,363
319,359
320,356
321,214
322,206
323,206
324,204
325,347
326,204
327,204
328,46
329,347
330,345
331,203
332,345
333,344
334,203
335,202
336,203
337,202
338,202
339,343
340,46
341,201
342,340
343,46
344,129
345,201
346,200
347,200
348,341
349,201
350,46
351,200
352,338
353,200
354,200
355,200
356,335
357,199
358,198
359,45
360,330
361,199
362,399
363,325
364,323
365,323
366,191
367,323
368,322
369,191
370,191
371,191
372,191
373,192
374,191
375,323
376,321
377,125
378,191
379,321
380,321
381,124
