loc,val
0,7
1,2
2,2
3,1
4,1
5,1
6,1
7,2
8,1
9,1
10,3
11,2
12,2
13,1
14,1
15,1
16,1
17,1
18,4
19,3
20,2
21,3
22,2
23,2
24,2
25,1
26,1
27,2
28,1
29,1
30,1
31,1
32,0
33,3
34,3
35,2
36,2
37,1
38,1
39,1
40,1
41,1
42,1
43,6
44,3
45,2
46,2
47,2
48,1
49,1
50,1
51,1
52,0
53,3
54,3
55,2
56,2
57,2
58,1
59,1
60,2
61,1
62,3
63,1
64,1
65,2
66,1
67,1
68,1
69,4
70,3
71,3
72,2
73,2
74,2
75,1
76,1
77,0
78,1
79,2
80,1
81,1
82,1
83,1
84,2
85,2
86,1
87,1
88,2
89,1
90,1
91,1
92,0
93,4
94,4
95,3
96,2
97,2
98,2
99,2
100,2
101,1
102,2
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,3
118,2
119,2
120,1
121,1
122,1
123,1
124,1
125,5
126,4
127,4
128,3
129,5
130,2
131,6
132,2
133,2
134,2
135,1
136,1
137,1
138,1
139,1
140,0
141,1
142,3
143,2
144,2
145,2
146,1
147,1
148,1
149,1
150,3
151,3
152,3
153,2
154,2
155,2
156,2
157,1
158,2
159,1
160,1
161,1
162,1
163,1
164,0
165,1
166,2
167,1
168,1
169,0
170,1
171,1
172,0
173,1
174,1
175,0
176,1
177,1
178,1
179,1
180,0
181,1
182,1
183,0
184,1
185,1
186,1
187,1
188,0
189,3
190,2
191,2
192,2
193,1
194,1
195,1
196,1
197,1
198,3
199,3
200,3
201,2
202,2
203,2
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,2
213,2
214,1
215,1
216,1
217,1
218,1
219,2
220,1
221,1
222,0
223,1
224,1
225,0
226,1
227,1
228,3
229,3
230,2
231,2
232,2
233,1
234,1
235,1
236,0
237,1
238,1
239,0
240,1
241,1
242,1
243,1
244,0
245,1
246,1
247,1
248,1
249,2
250,2
251,2
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,2
261,1
262,1
263,1
264,0
265,1
266,1
267,0
268,1
269,1
270,0
271,1
272,1
273,1
274,1
275,1
276,1
277,1
278,0
279,1
280,1
281,1
282,1
283,2
284,1
285,1
286,0
287,1
288,1
289,0
290,1
291,1
292,1
293,1
294,3
295,2
296,2
297,2
298,1
299,1
300,1
301,2
302,1
303,1
304,0
305,1
306,1
307,0
308,1
309,1
310,1
311,1
312,2
313,1
314,2
315,1
316,1
317,1
318,1
319,2
320,1
321,2
322,1
323,1
324,2
325,1
326,4
327,3
328,3
329,2
330,2
331,2
332,1
333,1
334,1
335,3
336,3
337,2
338,2
339,2
340,1
341,1
342,2
343,2
344,3
345,2
346,2
347,0
348,3
349,3
350,2
351,2
352,2
353,1
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,2
363,1
364,1
365,1
366,1
367,1
368,0
369,1
370,1
371,0
372,1
373,2
374,1
375,1
376,1
377,1
378,1
379,3
380,1
381,3
382,2
383,3
384,4
385,2
386,3
387,1
388,0
389,1
390,2
391,5
392,3
393,17
394,1
395,2
396,1
397,1
398,2
399,3
400,2
401,2
402,2
403,1
404,1
405,1
406,1
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,2
415,1
416,1
417,1
418,1
419,1
420,1
421,1
422,2
423,1
424,1
425,1
426,1
427,2
428,1
429,1
430,1
431,1
432,1
433,1
434,0
435,1
436,1
437,1
438,1
439,1
440,1
441,1
442,1
443,1
444,1
445,1
446,5
447,1
448,1
449,0
450,1
451,1
452,0
453,1
454,1
455,1
456,1
457,2
458,1
459,1
460,0
461,1
462,1
463,1
464,0
465,1
466,1
467,0
468,1
469,2
470,1
471,1
472,1
473,1
474,1
475,1
476,1
477,1
478,2
479,1
480,2
481,1
482,1
483,0
484,1
485,1
486,0
487,1
488,1
489,0
490,1
491,1
492,1
493,1
494,1
495,1
496,1
497,0
498,1
499,3
500,2
501,2
502,2
503,1
504,1
505,1
506,0
507,1
508,1
509,1
510,0
511,3
512,2
513,2
514,2
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,2
523,2
524,2
525,1
526,1
527,1
528,2
529,1
530,1
531,1
532,1
533,2
534,1
535,2
536,1
537,1
538,1
539,1
540,1
541,2
542,4
543,5
544,3
545,2
546,3
547,2
548,3
549,2
550,3
551,1
552,2
553,1
554,1
555,1
556,3
557,2
558,2
559,1
560,1
561,1
562,0
563,1
564,1
565,1
566,1
567,1
568,1
569,0
570,1
571,1
572,1
573,1
574,3
575,3
576,2
577,2
578,1
579,1
580,1
581,1
582,0
583,1
584,1
585,1
586,0
587,1
588,1
589,3
590,3
591,3
592,3
593,2
594,2
595,4
596,1
597,1
598,3
599,1
600,2
601,1
602,1
603,1
604,1
605,1
606,1
607,1
608,1
609,1
610,3
611,3
612,3
613,2
614,2
615,1
616,1
617,1
618,1
619,1
620,1
621,1
622,1
623,1
624,1
625,1
626,1
627,1
628,0
629,0
630,1
631,1
632,0
633,1
634,1
635,0
636,1
637,1
638,2
639,1
640,1
641,0
642,1
643,1
644,0
645,1
646,1
647,0
648,1
649,1
650,1
651,1
652,0
653,1
654,1
655,0
656,1
657,1
658,1
659,1
660,1
661,1
662,1
663,1
664,1
665,0
666,1
667,1
668,0
669,1
670,1
671,2
672,1
673,1
674,0
675,1
676,1
677,1
678,1
679,1
680,0
681,1
682,1
683,1
684,1
685,1
686,1
687,1
688,1
689,1
690,0
691,1
692,1
693,0
694,1
695,1
696,2
697,1
698,1
699,1
700,0
701,1
702,1
703,0
704,1
705,1
706,1
707,1
708,1
709,1
710,1
711,1
712,1
713,1
714,0
715,3
716,3
717,3
718,2
719,2
720,2
721,1
722,1
723,1
724,0
725,1
726,1
727,2
728,3
729,2
730,2
731,2
732,2
733,1
734,2
735,1
736,1
737,1
738,0
739,1
740,1
741,1
742,0
743,1
744,1
745,1
746,1
747,1
748,0
749,1
750,1
751,0
752,1
753,1
754,0
755,2
756,2
757,1
758,1
759,0
760,1
761,1
762,1
763,1
764,1
765,1
766,1
767,1
768,1
769,1
770,1
771,0
772,1
773,1
774,0
775,1
776,1
777,1
778,0
779,3
780,2
781,2
782,1
783,1
784,1
785,1
786,0
787,1
788,1
789,1
790,1
791,2
792,1
793,1
794,0
795,1
796,1
797,1
798,1
799,1
800,1
801,1
802,1
803,0
804,1
805,1
806,0
807,0
808,1
809,3
810,3
811,3
812,3
813,2
814,2
815,2
816,1
817,1
818,1
819,1
820,1
821,1
822,3
823,3
824,2
825,2
826,2
827,1
828,1
829,1
830,0
831,1
832,1
833,0
834,1
835,1
836,0
837,1
838,3
839,5
840,3
841,2
842,2
843,2
844,1
845,3
846,2
847,2
848,1
849,1
850,2
851,1
852,1
853,1
854,1
855,1
856,1
857,1
858,1
859,1
860,1
861,1
862,0
863,1
864,1
865,0
866,1
867,1
868,2
869,1
870,0
871,0
872,4
873,6
874,5
875,5
876,5
877,4
878,4
879,4
880,4
881,3
882,3
883,4
884,3
885,4
886,3
887,3
888,5
889,3
890,3
891,5
892,2
893,1
894,3
895,1
896,1
897,3
898,2
899,1
900,1
901,1
902,0
903,1
904,2
905,1
906,1
907,1
908,0
909,1
910,1
911,0
912,1
913,1
914,1
915,3
916,3
917,0
918,1
919,1
920,0
921,1
922,1
923,2
924,1
925,1
926,1
927,1
928,1
929,0
930,1
931,1
932,1
933,1
934,1
935,1
936,1
937,1
938,1
939,0
940,1
941,1
942,2
943,1
944,1
945,1
946,1
947,1
948,1
949,1
950,1
951,1
952,1
953,1
954,0
955,1
956,1
957,1
958,1
959,1
960,2
961,1
962,1
963,0
964,1
965,1
966,1
967,1
968,1
969,1
970,1
971,1
972,1
973,1
974,1
975,1
976,0
977,1
978,1
979,0
980,1
981,1
982,2
983,1
984,1
985,1
986,1
987,1
988,1
989,1
990,1
991,0
992,1
993,1
994,0
995,1
996,1
997,1
998,1
999,1
1000,1
1001,0
1002,1
1003,1
1004,0
1005,1
1006,1
1007,0
1008,1
1009,1
1010,1
1011,1
1012,1
1013,0
1014,3
1015,3
1016,2
1017,2
1018,2
1019,2
1020,1
1021,1
1022,1
1023,0
1024,1
1025,1
1026,0
1027,1
1028,1
1029,1
1030,0
1031,3
1032,3
1033,2
1034,2
1035,2
1036,2
1037,1
