loc,val
0,2
1,1
2,2
3,2
4,1
5,1
6,1
7,0
8,0
9,3
10,2
11,2
12,4
13,0
14,2
15,1
16,1
17,1
18,1
19,0
20,0
21,1
22,2
23,2
24,2
25,1
26,1
27,1
28,1
29,0
30,2
31,1
32,1
33,1
34,1
35,0
36,0
37,3
38,2
39,2
40,2
41,1
42,1
43,1
44,0
45,3
46,2
47,2
48,2
49,2
50,1
51,1
52,2
53,1
54,1
55,0
56,0
57,3
58,2
59,2
60,2
61,1
62,1
63,1
64,2
65,2
66,1
67,1
68,1
69,13
70,2
71,1
72,1
73,1
74,0
75,3
76,2
77,2
78,1
79,1
80,1
81,3
82,6
83,2
84,1
85,1
86,2
87,1
88,1
89,1
90,2
91,2
92,2
93,3
94,1
95,1
96,1
97,0
98,0
99,3
100,2
101,2
102,2
103,2
104,1
105,1
106,1
107,2
108,2
109,2
110,1
111,1
112,1
113,0
114,4
115,6
116,2
117,1
118,1
119,1
120,2
121,2
122,2
123,2
124,1
125,1
126,2
127,2
128,2
129,2
130,1
131,1
132,1
133,2
134,2
135,2
136,1
137,0
138,2
139,1
140,1
141,1
142,0
143,0
144,0
145,3
146,2
147,2
148,2
149,1
150,1
151,1
152,2
153,2
154,1
155,1
156,1
157,1
158,0
159,2
160,2
161,1
162,1
163,1
164,0
165,0
166,3
167,2
168,2
169,2
170,2
171,1
172,1
173,1
174,2
175,2
176,2
177,1
178,1
179,1
180,1
181,2
182,2
183,2
184,1
185,1
186,1
187,0
188,0
189,2
190,0
191,3
192,2
193,2
194,2
195,1
196,1
197,1
198,1
199,2
200,2
201,1
202,1
203,1
204,1
205,0
206,2
207,2
208,1
209,1
210,1
211,0
212,0
213,1
214,2
215,2
216,2
217,1
218,1
219,1
220,1
221,2
222,2
223,2
224,1
225,1
226,1
227,0
228,2
229,2
230,1
231,1
232,1
233,0
234,0
235,3
236,2
237,1
238,1
239,3
240,2
241,2
242,2
243,1
244,1
245,0
246,2
247,2
248,1
249,1
250,3
251,2
252,2
253,1
254,1
255,1
256,1
257,0
258,2
259,1
260,1
261,0
262,2
263,2
264,2
265,2
266,2
267,1
268,1
269,1
270,2
271,2
272,2
273,1
274,1
275,1
276,1
277,2
278,2
279,2
280,1
281,1
282,1
283,0
284,2
285,1
286,0
287,0
288,3
289,2
290,2
291,2
292,2
293,1
294,1
295,1
296,2
297,2
298,2
299,1
300,1
301,1
302,1
303,0
304,3
305,3
306,2
307,2
308,2
309,1
310,7
311,2
312,1
313,1
314,1
315,1
316,0
317,2
318,2
319,2
320,2
321,2
322,1
323,1
324,2
325,2
326,2
327,2
328,2
329,1
330,2
331,1
332,1
333,1
334,0
335,3
336,2
337,1
338,2
339,4
340,1
341,1
342,0
343,2
344,2
345,1
346,1
347,1
348,0
349,0
350,2
351,2
352,2
353,1
354,1
355,1
356,2
357,1
358,1
359,1
360,0
361,0
362,3
363,2
364,2
365,2
366,1
367,1
368,2
369,2
370,1
371,1
372,2
373,2
374,1
375,2
376,2
377,2
378,1
379,1
380,2
381,2
382,1
383,1
384,1
385,2
386,2
387,2
388,1
389,1
390,1
391,0
392,2
393,2
394,1
395,1
396,0
397,0
398,1
399,2
400,2
401,2
402,1
403,1
404,1
405,1
406,0
407,3
408,2
409,2
410,2
411,1
412,1
413,1
414,3
415,2
416,2
417,1
418,1
419,1
420,1
421,2
422,2
423,1
424,1
425,3
426,2
427,1
428,1
429,4
430,2
431,2
432,2
433,1
434,1
435,2
436,2
437,2
438,1
439,1
440,1
441,1
442,0
443,0
444,3
445,2
446,2
447,2
448,2
449,1
450,1
451,1
452,2
453,2
454,2
455,1
456,1
457,1
458,1
459,0
460,2
461,2
462,1
463,1
464,1
465,1
466,0
467,0
468,3
469,2
470,2
471,2
472,2
473,1
474,1
475,1
476,3
477,2
478,2
479,2
480,1
481,1
482,1
483,1
484,2
485,2
486,2
487,1
488,1
489,1
490,0
491,0
492,0
493,3
494,2
495,2
496,2
497,1
498,1
499,1
500,1
501,2
502,2
503,1
504,1
505,1
506,0
507,0
508,2
509,1
510,1
511,1
512,1
513,1
514,1
515,3
516,2
517,2
518,2
519,1
520,1
521,1
522,2
523,2
524,2
525,1
526,1
527,1
528,0
529,2
530,1
531,1
532,1
533,1
534,0
535,1
536,3
537,2
538,2
539,2
540,1
541,1
542,1
543,2
544,2
545,2
546,1
547,1
548,1
549,0
550,2
551,2
552,1
553,1
554,1
555,0
556,0
557,1
558,0
559,2
560,2
561,1
562,1
563,1
564,0
565,0
566,1
567,2
568,2
569,2
570,1
571,1
572,1
573,3
574,3
575,2
576,2
577,1
578,13
579,12
580,11
581,11
582,2
583,2
584,1
585,1
586,1
587,2
588,2
589,1
590,1
591,1
592,0
593,0
594,3
595,2
596,2
597,1
598,1
599,1
600,2
601,2
602,2
603,1
604,1
605,1
606,0
607,2
608,2
609,1
610,1
611,1
612,0
613,0
614,0
615,2
616,2
617,2
618,2
619,1
620,1
621,1
622,2
623,2
624,2
625,1
626,1
627,1
628,0
629,2
630,2
631,1
632,1
633,1
634,0
635,0
636,2
637,2
638,2
639,1
640,2
641,2
642,2
643,1
644,1
645,1
646,1
647,2
648,2
649,1
650,1
651,1
652,0
653,2
654,2
655,2
656,2
657,1
658,1
659,1
660,3
661,2
662,1
663,1
664,1
665,1
666,0
667,2
668,1
669,1
670,1
671,1
672,0
673,3
674,2
675,2
676,1
677,1
678,1
679,1
680,2
681,2
682,2
683,1
684,1
685,1
686,1
687,0
688,2
689,1
690,1
691,2
692,2
693,1
694,1
695,2
696,2
697,2
698,1
699,1
700,1
701,1
702,2
703,0
704,3
705,2
706,2
707,1
708,1
709,1
710,2
711,2
712,2
713,1
714,1
715,1
716,0
717,4
718,2
719,1
720,1
721,1
722,1
723,2
724,2
725,1
726,1
727,1
728,1
729,0
730,2
