loc,val
0,3
1,2
2,1
3,1
4,3
5,2
6,2
7,1
8,2
9,2
10,1
11,1
12,3
13,2
14,1
15,1
16,3
17,2
18,2
19,1
20,2
21,2
22,1
23,1
24,0
25,3
26,2
27,2
28,2
29,1
30,3
31,2
32,1
33,1
34,0
35,2
36,2
37,1
38,1
39,0
40,3
41,2
42,2
43,1
44,1
45,1
46,3
47,2
48,2
49,1
50,1
51,2
52,3
53,2
54,1
55,1
56,1
57,1
58,3
59,2
60,2
61,1
62,0
63,3
64,2
65,2
66,1
67,2
68,3
69,2
70,2
71,1
72,1
73,2
74,4
75,3
76,3
77,2
78,1
79,2
80,2
81,1
82,1
83,0
84,3
85,2
86,2
87,1
88,1
89,1
90,2
91,2
92,1
93,1
94,2
95,4
96,2
97,2
98,1
99,1
100,2
101,2
102,1
103,0
104,1
105,3
106,3
107,2
108,1
109,2
110,2
111,1
112,1
113,3
114,2
115,1
116,1
117,3
118,2
119,1
120,1
121,3
122,2
123,1
124,1
125,1
126,2
127,2
128,1
129,1
130,3
131,2
132,1
133,1
134,1
135,3
136,2
137,1
138,1
139,1
140,2
141,2
142,1
143,1
144,0
145,20
146,5
147,2
148,2
149,1
150,1
151,2
152,2
153,1
154,1
155,3
156,2
157,2
158,1
159,0
160,3
161,2
162,2
163,1
164,1
165,3
166,2
167,2
168,1
169,2
170,2
171,2
172,1
173,1
174,1
175,2
176,2
177,1
178,0
179,3
180,2
181,1
182,1
183,1
184,3
185,2
186,1
187,1
188,3
189,2
190,2
191,1
192,1
193,1
194,2
195,3
196,2
197,2
198,1
199,3
200,3
201,2
202,1
203,1
204,1
205,2
206,2
207,1
208,0
209,1
210,3
211,2
212,2
213,1
214,4
215,2
216,2
217,1
218,2
219,2
220,2
221,1
222,1
223,1
224,2
225,2
226,1
227,1
228,1
229,2
230,2
231,1
232,1
233,1
234,3
235,2
236,2
237,2
238,0
239,3
240,2
241,2
242,1
243,1
244,3
245,2
246,1
247,1
248,1
249,1
250,3
251,2
252,2
253,1
254,1
255,1
256,3
257,2
258,2
259,1
260,1
261,3
262,2
263,2
264,1
265,0
266,3
267,3
268,2
269,2
270,1
271,3
272,2
273,1
274,1
275,1
276,2
277,3
278,2
279,1
280,1
281,1
282,2
283,2
284,1
285,0
286,1
287,3
288,2
289,2
290,1
291,1
292,1
293,7
294,7
295,6
296,6
297,3
298,2
299,2
300,2
301,2
302,1
303,3
304,2
305,1
306,1
307,3
308,2
309,2
310,1
311,1
312,2
313,2
314,1
315,0
316,3
317,2
318,2
319,1
320,0
321,1
322,0
323,3
324,2
325,1
326,1
327,1
328,1
329,3
330,2
331,2
332,1
333,3
334,3
335,2
336,1
337,1
338,3
339,2
340,2
341,1
342,0
343,2
344,1
345,1
346,1
347,1
348,3
349,2
350,1
351,1
352,1
353,1
354,3
355,2
356,2
357,1
358,1
359,1
360,1
361,2
362,3
363,2
364,2
365,1
366,1
367,3
368,2
369,1
370,1
371,0
372,1
373,1
374,3
375,3
376,2
377,1
378,2
379,2
380,1
381,1
382,1
383,3
384,2
385,2
386,1
387,1
388,3
389,2
390,2
391,1
392,1
393,1
394,2
395,2
396,1
397,1
398,1
399,3
400,2
401,2
402,1
403,3
404,3
405,2
406,2
407,1
408,3
409,3
410,2
411,1
412,1
413,3
414,2
415,1
416,1
417,1
418,1
419,3
420,2
421,2
422,1
423,1
424,1
425,2
426,2
427,1
428,0
429,1
430,2
431,2
432,2
433,1
434,1
435,3
436,2
437,1
438,1
439,0
440,1
441,3
442,2
443,2
444,1
445,1
446,1
447,3
448,3
449,2
450,1
451,1
452,10
453,4
454,3
455,2
456,2
457,1
458,4
459,2
460,2
461,1
462,3
463,2
464,1
465,1
466,1
467,3
468,2
469,2
470,1
471,0
472,3
473,2
474,2
475,1
476,1
477,3
478,2
479,2
480,1
481,1
482,1
483,3
484,2
485,2
486,1
487,1
488,3
489,2
490,2
491,1
492,1
493,1
494,3
495,3
496,2
497,2
498,1
499,3
500,2
501,2
502,1
