loc,val
0,3
1,5
2,1
3,3
4,2
5,2
6,1
7,3
8,2
9,1
10,3
11,2
12,1
13,1
14,2
15,1
16,1
17,0
18,3
19,2
20,1
21,1
22,2
23,2
24,1
25,0
26,2
27,1
28,1
29,3
30,2
31,2
32,1
33,1
34,2
35,1
36,1
37,3
38,2
39,1
40,3
41,2
42,3
43,1
44,3
45,2
46,3
47,2
48,2
49,1
50,3
51,2
52,1
53,2
54,1
55,3
56,2
57,1
58,0
59,3
60,1
61,2
62,1
63,3
64,2
65,1
66,2
67,1
68,2
69,1
70,3
71,1
72,2
73,1
74,3
75,2
76,3
77,2
78,3
79,2
80,2
81,1
82,2
83,3
84,1
85,1
86,2
87,3
88,2
89,2
90,3
91,2
92,1
93,1
94,2
95,1
96,1
97,3
98,2
99,23
100,3
101,2
102,1
103,3
104,2
105,1
106,1
107,2
108,1
109,3
110,2
111,1
112,3
113,2
114,3
115,2
116,1
117,5
118,1
119,3
120,2
121,1
122,1
123,2
124,2
125,1
126,0
127,3
128,2
129,2
130,1
131,3
132,2
133,1
134,1
135,2
136,2
137,1
138,0
139,2
140,1
141,1
142,2
143,1
144,1
145,2
146,4
147,2
148,1
149,1
150,2
151,1
152,1
153,3
154,2
155,1
156,2
157,2
158,5
159,2
160,3
161,2
162,4
163,4
164,2
165,2
166,1
167,0
168,3
169,2
170,1
171,2
172,2
173,1
174,0
175,7
176,1
177,2
178,2
179,1
180,0
181,3
182,2
183,2
184,3
185,3
186,3
187,2
188,1
189,1
190,2
191,1
192,2
193,1
194,2
195,2
196,1
197,2
198,2
199,1
200,2
201,1
202,0
203,3
204,6
205,1
206,1
207,5
208,2
209,1
210,1
211,2
212,1
213,1
214,3
215,2
216,1
217,1
218,2
219,2
220,1
221,2
222,1
223,2
224,1
225,3
226,2
227,1
228,2
229,2
230,1
231,1
232,2
233,4
234,2
235,2
236,1
237,0
238,2
239,1
240,0
241,3
242,2
243,1
244,2
245,1
246,2
247,1
248,0
249,2
250,1
251,3
252,9
253,6
254,2
255,3
256,2
257,1
258,7
259,5
260,5
261,4
