loc,val
0,4
1,4
2,2
3,1
4,3
5,2
6,1
7,1
8,3
9,2
10,1
11,3
12,2
13,1
14,0
15,3
16,2
17,1
18,3
19,2
20,1
21,1
22,2
23,1
24,1
25,2
26,3
27,2
28,1
29,4
30,3
31,4
32,1
33,3
34,2
35,2
36,1
37,3
38,2
39,1
40,2
41,3
42,2
43,1
44,2
45,1
46,0
47,3
48,2
49,1
50,1
51,2
52,2
53,0
54,3
55,2
56,1
57,3
58,2
59,2
60,3
61,1
62,1
63,1
64,2
65,2
66,39
67,38
68,3
69,2
70,2
71,3
72,2
73,1
74,3
75,2
76,1
77,1
78,2
79,3
80,2
81,3
82,2
83,1
84,3
85,2
86,1
87,3
88,2
89,5
90,3
91,2
92,3
93,2
94,1
95,3
96,2
97,1
98,3
99,2
100,1
101,2
102,2
103,1
104,1
105,1
106,2
107,1
108,1
109,3
110,2
111,2
112,1
113,3
114,2
115,1
116,3
117,2
118,4
119,2
120,1
121,3
122,2
123,2
124,2
125,5
126,4
127,3
128,2
129,3
130,2
131,1
132,3
133,2
134,1
135,3
136,2
137,1
138,3
139,2
140,1
141,3
142,3
143,2
144,2
145,1
146,1
147,5
148,2
149,1
150,3
151,2
152,1
153,3
154,2
155,1
156,1
157,3
158,2
159,2
160,3
161,2
162,1
163,3
164,2
165,1
166,5
167,4
168,3
169,2
170,1
171,1
172,3
173,2
174,1
175,2
176,4
177,2
178,2
179,2
180,2
181,2
182,1
183,3
184,2
185,1
186,1
187,3
188,2
189,1
190,3
191,2
192,1
193,3
194,2
195,1
196,2
197,2
198,1
199,1
200,3
201,2
202,1
203,3
204,2
205,5
206,2
207,2
208,3
209,2
210,1
211,2
212,2
213,3
214,2
215,3
216,1
217,1
218,1
219,2
220,1
221,2
222,3
223,2
224,1
225,1
226,2
227,3
228,2
229,4
230,2
231,1
232,2
233,3
234,5
235,1
236,3
237,2
238,1
239,2
240,2
241,1
242,3
243,2
244,1
245,2
246,2
247,1
248,3
249,2
250,1
251,4
252,2
253,2
254,1
255,3
256,2
257,1
258,3
259,2
260,1
261,3
262,2
263,4
264,3
265,4
266,2
267,1
268,3
269,2
270,1
271,3
272,2
273,1
274,1
275,1
276,2
277,2
278,1
279,0
280,3
281,2
282,1
283,4
284,3
285,2
286,1
287,3
288,2
289,1
290,1
291,3
292,2
293,1
294,3
295,3
296,3
297,2
298,1
299,1
300,2
301,1
302,2
303,1
304,3
305,3
306,2
307,3
308,2
309,2
310,1
311,3
312,2
313,2
314,1
315,3
316,2
317,1
318,1
319,3
320,2
321,1
322,4
323,3
324,5
325,1
326,3
327,2
328,2
329,3
330,2
331,1
332,3
333,2
334,1
335,4
336,3
337,2
338,3
339,2
340,1
341,0
342,3
343,2
344,1
345,0
346,3
347,2
348,1
349,1
350,4
351,3
352,2
353,3
354,3
355,2
356,1
357,3
358,2
359,1
360,1
361,2
362,2
363,1
364,3
365,2
366,1
367,3
368,2
369,1
370,1
371,4
372,3
373,0
374,3
375,2
376,1
377,3
378,2
379,4
380,2
381,2
382,3
383,1
384,2
385,3
386,2
387,1
388,1
389,3
390,2
391,1
392,3
393,3
394,2
395,3
396,3
397,2
398,1
399,1
400,3
401,2
402,1
403,3
404,2
405,1
406,2
407,2
408,1
409,4
410,2
411,4
412,2
413,1
414,3
415,2
416,1
417,3
418,3
419,2
420,4
421,3
422,2
423,4
424,2
425,1
426,3
427,2
428,1
429,3
430,1
431,1
432,2
433,1
434,1
435,3
436,2
437,1
438,1
439,2
440,4
441,1
442,4
443,3
444,2
445,3
446,2
447,1
448,2
449,2
450,1
451,3
452,2
453,1
454,1
455,2
456,2
457,2
458,3
459,2
460,1
461,3
462,2
463,1
464,2
465,3
466,2
467,1
468,3
469,5
470,1
471,2
472,1
473,1
474,3
475,2
476,1
477,3
478,2
479,1
480,3
481,2
482,1
483,2
484,1
485,4
486,3
487,2
488,1
489,3
490,2
491,2
492,2
493,4
494,2
495,1
496,3
497,2
498,3
499,2
500,4
501,2
502,1
503,1
504,3
505,2
506,1
507,3
508,2
509,1
510,3
511,2
512,1
513,1
514,2
515,2
516,1
517,3
518,2
519,1
520,3
521,2
522,2
523,3
524,2
525,1
526,3
527,4
528,3
529,2
530,1
531,2
532,2
533,2
534,1
535,3
536,2
537,1
538,1
539,3
540,2
541,1
542,2
543,1
544,2
545,2
546,3
547,2
548,1
549,3
550,2
551,2
552,1
553,3
554,2
555,1
556,5
557,2
558,1
559,4
560,3
561,2
562,4
563,2
564,2
565,1
566,3
567,2
568,2
569,1
570,5
571,5
572,3
573,2
574,1
575,3
576,2
577,1
578,1
579,2
580,1
581,1
582,2
583,2
584,5
585,5
586,2
587,2
588,3
589,2
590,1
591,1
592,3
593,2
594,1
595,1
596,2
597,1
598,1
599,3
600,2
601,1
602,1
603,3
604,2
605,1
606,2
607,3
608,2
609,1
610,3
611,2
612,1
613,1
614,3
615,1
616,2
617,1
618,1
619,3
620,2
621,1
622,3
623,2
624,1
625,2
626,1
627,1
628,4
629,3
630,2
631,2
632,3
633,2
634,1
635,2
636,2
637,1
638,1
639,3
640,2
641,1
642,1
643,5
644,2
645,1
646,2
647,3
648,2
649,3
650,2
651,1
652,3
653,1
654,3
655,2
656,1
657,3
658,2
659,1
660,2
661,1
662,3
663,2
664,2
665,1
666,3
667,2
668,2
669,1
670,3
671,2
672,2
673,1
674,4
675,3
676,2
677,1
678,3
679,2
680,1
681,3
682,2
683,1
684,1
685,2
686,3
687,2
688,1
689,5
690,2
691,1
692,2
693,1
694,3
695,2
696,1
697,3
698,2
699,2
700,2
701,2
702,2
703,3
704,2
705,1
706,1
707,3
708,2
709,1
710,0
711,3
712,2
713,1
714,0
715,3
716,2
717,1
718,5
719,2
720,3
721,2
722,1
723,3
724,2
725,1
726,0
727,4
728,2
729,2
730,1
731,3
732,2
733,1
734,2
735,3
736,2
737,2
738,1
739,2
740,2
741,1
742,3
743,2
744,1
745,1
746,2
747,4
748,1
749,1
750,3
751,2
752,3
753,2
754,1
755,3
756,2
757,1
758,4
759,2
760,2
761,1
762,3
763,2
764,1
765,3
766,2
767,1
768,3
769,2
770,1
771,3
772,1
773,1
774,3
775,2
776,3
777,2
778,1
779,5
780,4
781,3
782,2
783,1
784,1
785,2
786,2
787,1
788,4
789,3
790,2
791,3
792,2
793,1
794,1
795,2
796,2
797,3
798,2
799,1
800,2
801,2
802,1
803,1
804,3
805,3
806,2
807,1
808,4
809,2
810,1
811,1
812,3
813,3
814,2
815,2
816,3
817,2
818,1
819,1
820,3
821,2
822,1
823,2
824,2
825,1
826,3
827,2
828,1
829,3
830,3
831,2
832,1
833,2
834,4
835,1
836,1
837,3
838,2
839,1
840,1
841,3
842,2
843,1
844,3
845,2
846,1
847,3
848,2
849,1
850,3
851,2
852,1
853,3
854,2
855,1
856,3
857,3
858,2
859,1
860,2
861,3
862,2
863,4
864,1
865,3
866,2
867,1
868,2
869,1
870,1
871,1
872,3
873,2
874,1
875,1
876,3
877,2
878,2
879,5
880,3
881,2
882,3
883,3
884,2
885,2
886,3
887,2
888,1
889,3
890,2
891,1
892,3
893,3
894,2
895,1
896,2
897,2
898,2
899,4
900,2
901,1
902,2
903,3
904,2
905,1
906,1
907,2
908,1
909,0
910,3
911,2
912,1
913,3
914,2
915,1
916,3
917,2
918,2
919,2
920,1
921,5
922,2
923,1
924,2
925,2
926,2
927,1
928,3
929,2
930,1
931,0
932,3
933,2
934,1
935,3
936,2
937,1
938,3
939,2
940,1
941,3
942,2
943,1
944,3
945,2
946,1
947,4
948,3
949,2
950,6
951,2
952,1
953,1
954,3
955,2
956,1
957,3
958,2
959,1
960,3
961,2
962,1
963,2
964,3
965,2
966,2
967,1
968,3
969,2
970,1
971,3
972,3
973,2
974,2
975,2
976,2
977,1
978,3
979,7
980,4
981,3
982,3
983,2
984,1
985,2
986,1
987,1
988,3
989,2
990,1
991,2
992,2
993,2
994,1
995,1
996,2
997,2
998,1
999,1
1000,3
1001,2
1002,1
1003,2
1004,2
1005,1
1006,1
1007,3
1008,5
1009,1
1010,3
1011,2
1012,1
1013,4
1014,2
1015,2
1016,3
1017,2
1018,2
1019,3
1020,2
1021,1
1022,1
1023,2
1024,2
1025,1
1026,1
1027,3
1028,2
1029,1
1030,3
1031,2
1032,1
1033,2
1034,1
1035,0
1036,4
1037,6
1038,2
1039,1
1040,1
1041,3
1042,2
1043,1
1044,4
1045,3
1046,2
1047,1
1048,3
1049,2
1050,1
1051,3
1052,2
1053,1
1054,3
1055,1
1056,3
1057,2
1058,1
1059,1
1060,3
1061,2
1062,1
1063,3
1064,2
1065,1
1066,1
1067,3
1068,2
1069,1
1070,2
1071,2
1072,1
1073,1
1074,3
1075,4
1076,3
1077,2
1078,3
1079,2
1080,1
1081,1
1082,3
1083,2
1084,6
1085,4
1086,3
1087,2
1088,1
1089,3
1090,2
1091,1
1092,3
1093,3
1094,2
1095,2
1096,2
1097,1
1098,3
1099,2
1100,1
1101,3
1102,2
1103,1
1104,2
1105,3
1106,3
1107,2
1108,3
1109,2
1110,1
1111,1
1112,3
1113,4
1114,3
1115,2
1116,1
1117,1
1118,2
1119,2
1120,1
1121,1
1122,2
1123,2
1124,1
1125,1
1126,3
1127,2
1128,1
1129,2
1130,2
1131,1
1132,3
1133,2
1134,1
1135,3
1136,2
1137,1
1138,2
1139,1
1140,2
1141,1
1142,5
1143,2
1144,1
1145,4
1146,3
1147,2
1148,1
1149,3
1150,2
1151,1
1152,1
1153,2
1154,2
1155,1
1156,2
1157,1
1158,1
1159,3
1160,2
1161,1
1162,3
1163,2
1164,2
1165,1
1166,3
1167,2
1168,2
1169,1
1170,3
1171,5
1172,2
1173,1
1174,3
1175,2
1176,1
1177,1
1178,2
1179,1
1180,1
1181,3
1182,2
1183,1
1184,0
1185,3
1186,2
1187,1
1188,3
1189,2
1190,2
1191,2
1192,4
1193,3
1194,3
1195,1
1196,3
1197,2
1198,1
1199,3
1200,3
1201,2
1202,2
1203,1
1204,3
1205,3
1206,2
1207,2
1208,1
1209,2
1210,2
1211,1
1212,3
1213,2
1214,1
1215,2
1216,2
1217,1
1218,3
1219,2
1220,1
1221,1
1222,4
1223,3
1224,2
1225,2
1226,2
1227,2
